,Learned Profile,Target Profile,Similarity in terms of Sus,Similarity in terms of Sec,Similarity in terms of Eff,Similarity with Sus expert,Similarity with Sec expert,Similarity with Eff expert,Similarity with target profile agent,Similarity with target profile society
0,"(0.0, 0.0, 1.0)","(0.0, 0.0, 1.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.9599808214601985, 0.05911839596679515)","(0.5564175024614397, 0.2015435964287199)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)"
1,"(0.1, 0.0, 0.9)","(0.1, 0.0, 0.9)","(0.9989459796789684, 0.009128083741183974)","(0.9971654900687004, 0.02454757607784743)","(0.9998863636017753, 0.0009841200765725426)","(0.962588773448914, 0.05577679546994845)","(0.5546352142311413, 0.2025538583427329)","(0.9998719432303256, 0.0009903590260222494)","(0.9997858004069108, 0.0018550228909543463)","(0.9852399887862667, 0.0425651259250945)"
2,"(0.2, 0.0, 0.8)","(0.2, 0.0, 0.8)","(0.9894387715413149, 0.03507095384996929)","(0.9857216328977036, 0.05008218079215506)","(0.996492164364529, 0.01187562872676567)","(0.9730471739012686, 0.04785843357661543)","(0.5533636761880375, 0.20424539336582215)","(0.9963642105610543, 0.011887722670155487)","(0.9949566439163681, 0.016753021419323378)","(0.9760026586997634, 0.048405334838184245)"
3,"(0.3, 0.0, 0.7)","(0.3, 0.0, 0.7)","(0.9864321489708321, 0.03879022210719493)","(0.9807682159324022, 0.05759460663923305)","(0.9945532028006033, 0.01749219494973477)","(0.9760537964717514, 0.04578435620959928)","(0.5503253252287451, 0.20307639170528977)","(0.9944252489971286, 0.017486225486716172)","(0.9919416328437844, 0.023627323428333395)","(0.972809928155687, 0.047864308710032694)"
4,"(0.4, 0.0, 0.6)","(0.4, 0.0, 0.6)","(0.9798856077217984, 0.04542069194712276)","(0.9637387599236826, 0.08657560591272892)","(0.9876022280504448, 0.033698831015619955)","(0.9824799949832325, 0.037151598643379906)","(0.5400271767453786, 0.20373191012681308)","(0.9874742742469701, 0.03366932731905683)","(0.9843074099299475, 0.037122225272080055)","(0.9699155848040611, 0.04990235249624607)"
5,"(0.5, 0.0, 0.5)","(0.5, 0.0, 0.5)","(0.9839076851568941, 0.04343544237312642)","(0.9667776120775882, 0.08772692192968412)","(0.9866861542548896, 0.03865751109532133)","(0.9849075062589451, 0.03147433822247912)","(0.5394055014339305, 0.20039991558313153)","(0.9844480130794901, 0.038848731387863454)","(0.9851655374685798, 0.040083191740721204)","(0.9700043381996813, 0.04978993616579555)"
6,"(0.6, 0.0, 0.4)","(0.6, 0.0, 0.4)","(0.9852239391315107, 0.03758696272296904)","(0.9554490277076922, 0.10506126229295744)","(0.9808344544825373, 0.049862151300040104)","(0.9889693919315015, 0.028246454409529845)","(0.5326453032040043, 0.20364744718055405)","(0.9767522022980608, 0.05009042621603817)","(0.983373548658859, 0.04227345503568792)","(0.9706436285872351, 0.05084092160567704)"
7,"(0.7, 0.0, 0.3)","(0.7, 0.0, 0.3)","(0.9872638286219424, 0.03333447111074935)","(0.957948408033026, 0.09915016014119295)","(0.9799732833516003, 0.05487327134289474)","(0.9900943275067896, 0.02573920170145726)","(0.5343821584954093, 0.20252338398137235)","(0.9731314435038062, 0.05819350418409275)","(0.9848674012713341, 0.03965759865453142)","(0.9733147880845622, 0.04594588222326768)"
8,"(0.8, 0.0, 0.2)","(0.8, 0.0, 0.2)","(0.9885189484403878, 0.02830009651079665)","(0.9516228498313898, 0.09876757031514213)","(0.9701273487570682, 0.07394808199718314)","(0.9938228808179965, 0.022136883238397066)","(0.5328394382136853, 0.20406040667274525)","(0.9578840112466895, 0.07945205398462626)","(0.9842337794359032, 0.0385895829387853)","(0.9811877748298222, 0.03645192968375628)"
9,"(0.9, 0.0, 0.1)","(0.9, 0.0, 0.1)","(0.9904702910030858, 0.02724687375378784)","(0.9545172635520804, 0.11314532230769095)","(0.9603254776733037, 0.10716837744663259)","(0.9983713134808383, 0.008758900539688148)","(0.5467877448291216, 0.20675997280471609)","(0.9376018098683275, 0.11206335456141536)","(0.9863704546269355, 0.03809408634236199)","(0.9929651452255156, 0.01705613341988513)"
10,"(1.0, 0.0, 0.0)","(1.0, 0.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(1.0, 0.0)","(0.5531167947007112, 0.20616171782951725)","(0.9237480948129704, 0.13574958522696715)","(1.0, 0.0)","(1.0, 0.0)"
